****** Levels
 3.51607927E+15      4.    1  'n1   4So 1'  0   0.  0
   4  13   0   0   4      0      0   0.000E+00   5.000E-02
   4  14   0   0   4      0      0   0.000E+00   5.000E-02
   4  15   0   0   4      0      0   0.000E+00   5.000E-02
   4  16  -1   0   1      0      0   5.120E-03   2.000E-01
  F  1  7  0.  0.
   4  17   0   0   4      0      0   0.000E+00   5.000E-02
   4  18   0   0   4      0      0   0.000E+00   5.000E-02
   4  19   0   0   4      0      0   0.000E+00   5.000E-02
   4  20   0   0   4      0      0   0.000E+00   5.000E-02
   4  21  -1   0   1      0      0   5.411E-04   2.000E-01
  F  1  7  0.  0.
   5   6   0   0   4      0      0   0.000E+00   5.000E-02
   5   7  -1   0   1      0      0   8.550E-02   7.000E-01
  F  1  7  0.  0.
   5   8   0   0   4      0      0   0.000E+00   5.000E-02
   5   9   0   0   4      0      0   0.000E+00   5.000E-02
   5  10   0   0   4      0      0   0.000E+00   5.000E-02
   5  11  -1   0   1      0      0   5.750E-01   7.000E-01
  F  1  7  0.  0.
   5  12  -1   0   1      0      0   3.517E-01   7.000E-01
  F  1  7  0.  0.
   5  13   0   0   4      0      0   0.000E+00   5.000E-02
   5  14   0   0   4      0      0   0.000E+00   5.000E-02
   5  15   0   0   4      0      0   0.000E+00   5.000E-02
   5  16   0   0   4      0      0   0.000E+00   5.000E-02
   5  17  -1   0   1      0      0   2.862E-02   2.000E-01
  F  1  7  0.  0.
   5  18   0   0   4      0      0   0.000E+00   5.000E-02
   5  19   0   0   4      0      0   0.000E+00   5.000E-02
   5  20  -1   0   1      0      0   1.242E-02   2.000E-01
  F  1  7  0.  0.
   5  21   0   0   4      0      0   0.000E+00   5.000E-02
   6   7   0   0   4      0      0   0.000E+00   5.000E-02
   6   8  -1   0   1      0      0   1.650E-01   7.000E-01
  F  1  7  0.  0.
   6   9  -1   0   1      0      0   7.700E-02   7.000E-01
  F  1  7  0.  0.
   6  10  -1   0   1      0      0   6.450E-02   7.000E-01
  F  1  7  0.  0.
   6  11   0   0   4      0      0   0.000E+00   5.000E-02
   6  12   0   0   4      0      0   0.000E+00   5.000E-02
   6  13   0   0   4      0      0   0.000E+00   5.000E-02
   6  14   0   0   4      0      0   0.000E+00   5.000E-02
   6  15   0   0   4      0      0   0.000E+00   5.000E-02
   6  16  -1   0   1      0      0   6.986E-03   2.000E-01
  F  1  7  0.  0.
